7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
#REF!,#REF!,#REF!,2022-12-31,#REF!,-,-,7.240661628,#REF!,#REF!,2023-01-07,#REF!,#REF!
#REF!,#REF!,#REF!,2023-01-01,#REF!,-,-,7.224584991,#REF!,#REF!,2023-01-08,#REF!,-
445.1428571,925.7142857,5660.428571,2023-01-02,7.864119325,-,-,7.263344801,-71.14285714,-15.98202824,2023-01-09,6.114660494,-
518.2857143,1184.571429,6488.285714,2023-01-03,7.98802237,-,-,7.003027245,-171.2857143,-33.04851158,2023-01-10,5.477327545,-
485,1020.428571,6134.857143,2023-01-04,7.90564456,-,-,6.745347254,-166.5714286,-34.34462445,2023-01-11,6.012039759,-
474.1428571,934.4285714,6111.285714,2023-01-05,7.758479628,-,-,6.59315859,-182,-38.38505574,2023-01-12,6.540131478,-
449.5714286,869.5714286,5843.428571,2023-01-06,7.693624095,-,-,6.340230191,-177.2857143,-39.43438195,2023-01-13,6.719894858,-
377.7142857,688,5216.571429,2023-01-07,7.240661628,#REF!,#REF!,6.658732147,-74,-19.59152799,2023-01-14,7.582225914,-
376.1428571,687,5206.428571,2023-01-08,7.224584991,#REF!,#REF!,6.540928431,-81.85714286,-21.76224839,2023-01-15,7.578498648,-
374,687.1428571,5149.142857,2023-01-09,7.263344801,-71.14285714,-15.98202824,6.48781117,-86.57142857,-23.14744079,2023-01-16,7.493555094,-
347,586.1428571,4955,2023-01-10,7.003027245,-171.2857143,-33.04851158,6.829004695,-58.14285714,-16.75586661,2023-01-17,8.453570558,-
318.4285714,516.8571429,4720.714286,2023-01-11,6.745347254,-166.5714286,-34.34462445,7.014755175,-28.42857143,-8.927770301,2023-01-18,9.133499171,-
292.1428571,466.2857143,4431,2023-01-12,6.59315859,-182,-38.38505574,7.328697003,4.428571429,1.515892421,2023-01-19,9.502757353,-
272.2857143,429.4285714,4294.571429,2023-01-13,6.340230191,-177.2857143,-39.43438195,7.441943551,25.28571429,9.286463799,2023-01-20,10.00066534,-
303.7142857,507.1428571,4561.142857,2023-01-14,6.658732147,-74,-19.59152799,7.804983905,4.571428571,1.505174036,2023-01-21,8.993802817,-
294.2857143,506.8571429,4499.142857,2023-01-15,6.540928431,-81.85714286,-21.76224839,7.89010989,13.42857143,4.563106796,2023-01-22,8.876550169,-
287.4285714,507,4430.285714,2023-01-16,6.48781117,-86.57142857,-23.14744079,7.947409012,21.71428571,7.554671968,2023-01-23,8.738236123,-
288.8571429,458.1428571,4229.857143,2023-01-17,6.829004695,-58.14285714,-16.75586661,8.721776451,45,15.57863501,2023-01-24,9.232616152,-
290,437.4285714,4134.142857,2023-01-18,7.014755175,-28.42857143,-8.927770301,8.950109649,-10.14285714,-3.497536946,2023-01-25,9.45101241,-
296.5714286,435.7142857,4046.714286,2023-01-19,7.328697003,4.428571429,1.515892421,9.552577788,3.857142857,1.300578035,2023-01-26,9.287540984,-
297.5714286,426.5714286,3998.571429,2023-01-20,7.441943551,25.28571429,9.286463799,10.66765099,32.71428571,10.993759,2023-01-27,9.373744139,-
308.2857143,434.1428571,3949.857143,2023-01-21,7.804983905,4.571428571,1.505174036,-,-,-,-,9.098058572,-
307.7142857,434,3900,2023-01-22,7.89010989,13.42857143,4.563106796,-,-,-,-,8.986175115,-
309.1428571,433.8571429,3889.857143,2023-01-23,7.947409012,21.71428571,7.554671968,-,-,-,-,8.96575568,-
333.8571429,452.2857143,3827.857143,2023-01-24,8.721776451,45,15.57863501,-,-,-,-,8.463360708,-
279.8571429,372.7142857,3126.857143,2023-01-25,8.950109649,-10.14285714,-3.497536946,-,-,-,-,8.389421234,-
300.4285714,388.1428571,3145,2023-01-26,9.552577788,3.857142857,1.300578035,-,-,-,-,8.102686787,-
330.2857143,411.4285714,3096.142857,2023-01-27,10.66765099,32.71428571,10.993759,-,-,-,-,7.525347222,-
